type,id,username,passwordHash,phoneNumber,failedLoginAttempts,locked,fullName,address,vatNumber,businessName,adminLevel
INDIVIDUAL,IND000015,amichail,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6901000013,0,false,ΑΛΕΞΑΝΔΡΟΣ ΜΙΧΑΗΛ,"Λεωφ. Κηφισίας 179, Αθήνα",067688314,,
INDIVIDUAL,IND000016,kstavrou,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6901000014,0,false,ΚΑΤΕΡΙΝΑ ΣΤΑΥΡΟΥ,"Οδός Σταδίου 197, Ηράκλειο",067688315,,
INDIVIDUAL,IND000017,tpantelis,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6901000015,0,false,ΘΑΝΑΣΗΣ ΠΑΝΤΕΛΗΣ,"Οδός Πατησίων 132, Ηράκλειο",067688316,,
INDIVIDUAL,IND000018,mlouka,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6901000016,0,false,ΜΑΡΙΑΝΝΑ ΛΟΥΚΑ,"Λεωφ. Βουλιαγμένης 124, Λάρισα",067688317,,
INDIVIDUAL,IND000019,santoniou,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6901000017,0,false,ΣΤΕΛΙΟΣ ΑΝΤΩΝΙΟΥ,"Οδός Πατησίων 116, Βόλος",067688318,,
INDIVIDUAL,IND000020,vchristou,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6901000018,0,false,ΒΑΣΙΛΙΚΗ ΧΡΙΣΤΟΥ,"Λεωφ. Αλεξάνδρας 125, Πάτρα",067688319,,
BUSINESS,BUS000021,vodafone,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000001,0,false,,,090800700,VODAFONE GR,
BUSINESS,BUS000022,cosmote,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000002,0,false,,,090800800,COSMOTE,
BUSINESS,BUS000023,dei,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000003,0,false,,,090800900,ΔΕΗ,
BUSINESS,BUS000024,nova,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000004,0,false,,,090800600,NOVA,
BUSINESS,BUS000025,ote,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000005,0,false,,,090800500,OTE,
BUSINESS,BUS000026,wind,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000006,0,false,,,090800400,WIND,
BUSINESS,BUS000027,eydap,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000007,0,false,,,090800300,ΕΥΔΑΠ,
BUSINESS,BUS000028,deddie,m4dppKdClZotApjDb7cGI/LfrNqENiN98I2N/Vs3N0w=,6902000008,0,false,,,090800200,ΔΕΔΔΗΕ,
